2025-12-21 22:00:43.155 | INFO | __main__:199 | Booting polymarket 15m live crypto price collector
2025-12-21 22:27:59.119 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:59.119196+00:00', '1766330879003', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', '0.97', '22.48', '0.99', '4676.5']
2025-12-21 22:27:59.123 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:59.123124+00:00', '1766330879032', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', None, None, None, None]
2025-12-21 22:27:59.542 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:59.542123+00:00', '1766330879454', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', '0.01', '4593.41', '0.03', '22.48']
2025-12-21 22:27:59.543 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:59.543016+00:00', '1766330879454', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', '0.97', '22.48', '0.99', '4593.41']
2025-12-21 22:27:59.576 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:59.576598+00:00', '1766330879492', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', None, None, None, None]
2025-12-21 22:27:59.689 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:59.689256+00:00', '1766330879609', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', '0.01', '4492.39', '0.03', '22.48']
2025-12-21 22:27:59.691 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:59.691947+00:00', '1766330879609', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', '0.97', '22.48', '0.99', '4492.39']
2025-12-21 22:27:59.710 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:59.710505+00:00', '1766330879630', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', '0.01', '4482.39', '0.03', '22.48']
2025-12-21 22:27:59.711 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:59.711389+00:00', '1766330879630', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', '0.97', '22.48', '0.99', '4482.39']
2025-12-21 22:27:59.716 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:59.716482+00:00', '1766330879637', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', None, None, None, None]
2025-12-21 22:27:59.720 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:59.720797+00:00', '1766330879641', 'xrp-updown-15m', '19987762977128151022044723814913573856285405238401109525652745684235306835713', 'Up', '0.46', '120.89', '0.47', '50']
2025-12-21 22:27:59.721 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:59.721469+00:00', '1766330879641', 'xrp-updown-15m', '97813047013358322346605281998844630441391085422629719724508492972455077638327', 'Down', '0.53', '50', '0.54', '120.89']
2025-12-21 22:27:59.738 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:59.738156+00:00', '1766330879658', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', None, None, None, None]
2025-12-21 22:27:59.749 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:59.749092+00:00', '1766330879668', 'xrp-updown-15m', '19987762977128151022044723814913573856285405238401109525652745684235306835713', 'Up', None, None, None, None]
2025-12-21 22:28:00.022 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.022432+00:00', '1766330879940', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', '0.01', '4477.39', '0.03', '22.48']
2025-12-21 22:28:00.023 | INFO | __main__:153 | ROW info: ['2025-12-21T15:28:00.023261+00:00', '1766330879940', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', '0.97', '22.48', '0.99', '4477.39']
